zip_path,key,E_input_Eh,E_finished_first_Eh,E_finished_first_opt_Eh,E_finished_last_Eh,E_finished_last_opt_Eh,E_ts_final_geometry_Eh,DFT_barrier_from_first_kcalmol,DFT_barrier_from_first_opt_kcalmol,DFT_barrier_from_last_kcalmol,DFT_barrier_from_last_opt_kcalmol,irc_file,IRC_Left_kJmol,IRC_TS_kJmol,IRC_Right_kJmol,IRC_Left_kcalmol,IRC_TS_kcalmol,IRC_Right_kcalmol,error
10.1021/acs.jpca.7b06785/jp7b06785_si_001/24_0_2.zip,10.1021/acs.jpca.7b06785/jp7b06785_si_001/24_0_2,-111.1790201909,-111.1553699296,-111.1540548403,-111.1553580326,-111.1541903804,-111.1798744068,-15.3768,-16.2020,-15.3843,-16.1170,24-irc.out,0.00,11.33,0.00,0.0000,2.7079,0.0000,
10.1021/acs.jpca.7b06785/jp7b06785_si_001/24_1_1.zip,10.1021/acs.jpca.7b06785/jp7b06785_si_001/24_1_1,-110.8238023586,-110.9945421214,-111.0256356010,-111.0012359301,-111.0257488722,-110.9957659209,-0.7679,18.7435,3.4325,18.8146,24-irc.out,0.00,24.98,0.00,0.0000,5.9704,0.0000,
10.1021/acs.jpca.7b06785/jp7b06785_si_001/25_0_2.zip,10.1021/acs.jpca.7b06785/jp7b06785_si_001/25_0_2,-111.2556081847,-111.2166147768,-111.2244667361,-111.2244874055,-111.2291913579,-111.2215307164,-3.0848,1.8424,1.8554,4.8071,25-irc.out,0.00,4.92,0.09,0.0000,1.1759,0.0215,
10.1021/acs.jpca.7b06785/jp7b06785_si_001/29_1_1.zip,10.1021/acs.jpca.7b06785/jp7b06785_si_001/29_1_1,-111.0117011758,-110.9708584462,-110.9589958447,-111.0342623707,-111.0352593885,-110.9899498053,-11.9800,-19.4239,27.8066,28.4322,29-irc.out,158.35,169.25,0.00,37.8466,40.4517,0.0000,
10.1021/acs.jpca.7b06785/jp7b06785_si_001/24_-1_1.zip,10.1021/acs.jpca.7b06785/jp7b06785_si_001/24_-1_1,-111.3227028526,-111.3227947880,-111.3236294801,-111.3232959723,-111.3236808462,-111.2458789563,48.2654,48.7892,48.5799,48.8214,24-irc.out,0.00,74.18,0.00,0.0000,17.7294,0.0000,
10.1021/acs.jpca.7b06785/jp7b06785_si_001/25_-1_1.zip,10.1021/acs.jpca.7b06785/jp7b06785_si_001/25_-1_1,-111.2767453662,-111.2357062805,-111.2409249209,-111.2391906491,-111.2411296051,-111.2364880015,-0.4905,2.7842,1.6959,2.9127,25-irc.out,0.00,6.28,0.00,0.0000,1.5010,0.0000,
10.1021/jp0753169/jp0753169si20070912_091007/05_1_1.zip,10.1021/jp0753169/jp0753169si20070912_091007/05_1_1,-145.7445409989,-145.7124654551,-145.7181043746,-145.6915297606,-145.6873278056,-145.7069906601,3.4355,6.9740,-9.7019,-12.3386,05-irc.out,0.00,9.24,3.93,0.0000,2.2084,0.9393,
10.1021/jp0753169/jp0753169si20070912_091007/07_0_2.zip,10.1021/jp0753169/jp0753169si20070912_091007/07_0_2,-145.9429518590,-145.8783199887,-145.8801720621,-145.9551693985,-145.9562491679,-145.8386684607,24.8817,26.0439,73.1054,73.7830,07-irc.out,156.14,196.64,0.00,37.3184,46.9981,0.0000,
10.1021/jp0753169/jp0753169si20070912_091007/05_-1_1.zip,10.1021/jp0753169/jp0753169si20070912_091007/05_-1_1,-145.9426701806,-145.9439021928,-145.9402819038,-145.9434552996,-145.9404405864,-145.3490602663,373.2689,370.9972,372.9885,371.0968,05-irc.out,0.00,2230.06,0.00,0.0000,532.9971,0.0000,
10.1021/acs.jpcc.5b10457/jp5b10457_si_001/29_-1_2.zip,10.1021/acs.jpcc.5b10457/jp5b10457_si_001/29_-1_2,-411.8651586878,-411.8625054241,-411.8691255056,-411.8795941831,-411.8806403169,-411.8041279306,36.6324,40.7866,47.3558,48.0122,29-irc.out,37.38,144.70,0.00,8.9340,34.5841,0.0000,
