basis_set,n_reactions,n_converged,convergence_rate
"LanL2dz+f:6-311+G(d,p)",64,27,0.4219
TZ2P(ZORA),64,0,0.0000
cc-pVDZ-F12,64,0,0.0000
Stuttgart SDD ECP,64,51,0.7969
correlation-consistent polarized valence double-ζ,64,64,1.0000
triple-ζ Dunning basis sets,64,64,1.0000
Lanl2dz+f,64,61,0.9531
"BS1, BS2, SDD, def2-SVP, def2-TZVPPD",63,0,0.0000
"L1, def2-tzvp",63,0,0.0000
SDDALL,63,25,0.3968
SRSC,63,33,0.5238
pVTZ,63,25,0.3968
pVTZ&SDD,63,25,0.3968
"Def2TZVP, Def2SVP",63,0,0.0000
lanl2tz(f),62,18,0.2903
"6-311+G(2df,2pd)",62,2,0.0323
"TZ2p, 6-311+G(d,p)",61,0,0.0000
IGLO-III,61,0,0.0000
Ahlrichs TZVP,61,22,0.3607
631LAN-SVP,61,22,0.3607
6-31G; TZVP,60,0,0.0000
lanl2tz for Cr,60,38,0.6333
"6-311G(d,p) for other elements",60,38,0.6333
D95V,60,14,0.2333
Ru:SDD,60,0,0.0000
6s5p3d2f],60,54,0.9000
LANL2DZ with one f function,60,0,0.0000
cc-pwCVTZ,60,34,0.5667
LanL2DZ for Rh,59,0,0.0000
ma-def2-tzvp,59,0,0.0000
"631G(d,p)",59,36,0.6102
"6311+G(2d,p)",59,36,0.6102
SDD(f),59,6,0.1017
def2-SVP; def2-TZVPP,59,0,0.0000
Stuttgart RECPs,58,57,0.9828
LANL2TZ+,58,15,0.2586
def2-TZP,58,41,0.7069
ma-def2-QZVP,57,0,0.0000
"SVP, cc-pVTZ",57,0,0.0000
BS1a,57,2,0.0351
Stuttgart/Dresden relativistic effective core potential for Pd,56,56,1.0000
"6-31G(d,p), LANL2DZ, 6-311++G(d,p), SDD",56,0,0.0000
6-31+Gd,56,55,0.9821
SDD+f(Mo),56,49,0.8750
LACVP**++,56,0,0.0000
"BSI=6-31G(d,p)",55,0,0.0000
"BSII=6-311++G(d,p)",55,0,0.0000
"lanl2tz for Cr, 6-311G(d,p) for other elements",55,0,0.0000
Def2/J,54,0,0.0000
SDD (Ru),54,26,0.4815
LANL2DZ (Ru),54,26,0.4815
QVZP,54,45,0.8333
