functional,element_class,n_reactions,n_converged,convergence_rate
B2GP-PLYP,3d_TM,55,0,0.0000
O3LYP,3d_TM,55,34,0.6182
BMK,no_xyz_data,55,30,0.5455
"r2SCAN-D3, ωB97X-D3",4d_TM,54,10,0.1852
"B3LYP, M11-L",3d_TM,54,0,0.0000
BHandHLYP,3d_TM,54,0,0.0000
"B3LYP, ωB97X-D",main_group_only,54,9,0.1667
"B3LYP, BMK, TPSS",main_group_only,54,50,0.9259
PW6B95,3d_TM,54,14,0.2593
DFT-D3,3d_TM,54,12,0.2222
B3LYP-D3,lanthanides,53,22,0.4151
M06S,3d_TM,53,0,0.0000
BLYP-D,main_group_only,53,0,0.0000
BHandHLYP,no_xyz_data,53,2,0.0377
"M06-2X, ωB97XD",3d_TM,53,32,0.6038
"M06, RM06",4d_TM,53,21,0.3962
B3LYP*,no_xyz_data,52,0,0.0000
DSD-PBE96-NL,main_group_only,52,27,0.5192
B3LYP5-NL,main_group_only,52,27,0.5192
TPSSh-D3(BJ),no_xyz_data,52,0,0.0000
PW6B95-D3(BJ),no_xyz_data,52,50,0.9615
LC-ωPBE,main_group_only,52,0,0.0000
UBP86,no_xyz_data,52,15,0.2885
B3,main_group_only,52,12,0.2308
B3PW91-D,no_xyz_data,51,12,0.2353
TPSS-D3,3d_TM,51,2,0.0392
"M06-2X, B3LYP-D3, B3PW91-D3, B97D-D3, BLYP-D3, BP86-D3, PBE-D3, PBE0-D3, TPSS-D3, ωB97XD, X3LYP",main_group_only,51,15,0.2941
D3BJ,no_xyz_data,50,26,0.5200
r2SCAN-3c,main_group_only,50,0,0.0000
D-BP86,main_group_only,50,38,0.7600
TPSSh-D3(BJ),main_group_only,50,0,0.0000
tHCTHhyb,main_group_only,50,0,0.0000
N12SX,main_group_only,50,0,0.0000
ωB97,main_group_only,50,0,0.0000
HISSbPBE,main_group_only,50,0,0.0000
M06-HF,5d_TM,50,7,0.1400
SAPT2+(3)dMP2,main_group_only,50,0,0.0000
B2PLYP-D,4d_TM,49,39,0.7959
"B3LYP-D3, B3LYP-D3BJ",main_group_only,49,35,0.7143
UPBE0,no_xyz_data,49,0,0.0000
B3LYP-GD3(BJ),main_group_only,49,15,0.3061
"B3LYP, M06-2X",main_group_only,49,0,0.0000
BPW91,main_group_only,49,6,0.1224
BP86,lanthanides,48,0,0.0000
UM06,lanthanides,48,0,0.0000
UBP86,lanthanides,48,0,0.0000
UM06,5d_TM,48,2,0.0417
UM06-D3,5d_TM,48,2,0.0417
PW91,4d_TM,48,31,0.6458
DSDPBEP86-D3BJ,no_xyz_data,48,0,0.0000
B3LYP-D3*,no_xyz_data,48,0,0.0000
Grimme's dispersion corrections with Becke-Johnson damping,main_group_only,48,0,0.0000
B3LYP-D3(0),main_group_only,47,0,0.0000
B3PW91,lanthanides,47,6,0.1277
w97XD,main_group_only,47,0,0.0000
BP86-D3(BJ),3d_TM,47,5,0.1064
"B3LYP-D3(BJ), M06",main_group_only,47,22,0.4681
Grimme D3,3d_TM,46,0,0.0000
B97,main_group_only,46,0,0.0000
BP,4d_TM,46,0,0.0000
B(C6F5)3,main_group_only,46,0,0.0000
LC-BP86,main_group_only,46,0,0.0000
CAM-B3LYP,3d_TM,45,17,0.3778
B97XD,main_group_only,45,19,0.4222
BP86(D3BJ),main_group_only,45,0,0.0000
DFT-D3,4d_TM,45,0,0.0000
RM06,3d_TM,45,27,0.6000
B3LYP*,main_group_only,45,21,0.4667
mPBE,main_group_only,45,0,0.0000
B1LYP,main_group_only,45,0,0.0000
Grimme D3,main_group_only,45,0,0.0000
MP4,4d_TM,45,0,0.0000
TPSS-D3BJ,no_xyz_data,44,0,0.0000
O3LYP,no_xyz_data,44,15,0.3409
M052X-D3,no_xyz_data,44,0,0.0000
MO6,main_group_only,44,6,0.1364
"B3LYP-D3(BJ), ωB97X-D",3d_TM,44,10,0.2273
ωB97M-V-D3BJ,main_group_only,44,0,0.0000
B3LYP+D3BJ,main_group_only,44,0,0.0000
ωB97X-D3,no_xyz_data,44,0,0.0000
B3LYP-D3,actinides,43,6,0.1395
RI-MP2,main_group_only,43,0,0.0000
"PBE0, PW6B95",main_group_only,43,0,0.0000
BPW91*,main_group_only,43,21,0.4884
BP86+D3,main_group_only,43,30,0.6977
M05-2X,no_xyz_data,43,0,0.0000
M06-2X-GD3,main_group_only,43,0,0.0000
PBEPBE,no_xyz_data,43,21,0.4884
"B3LYP, BP86",main_group_only,43,37,0.8605
X3LYP,4d_TM,43,43,1.0000
mPW1PW91,4d_TM,43,11,0.2558
"B3LYP, M06-D3",4d_TM,42,11,0.2619
RPBE,4d_TM,42,27,0.6429
D3(ABC),main_group_only,42,0,0.0000
CAM-B3LYP-D3,4d_TM,42,5,0.1190
UBP86,3d_TM,42,0,0.0000
D3-correction,4d_TM,42,21,0.5000
UBP86+D3BJ,3d_TM,42,0,0.0000
PW6B95D3,main_group_only,41,0,0.0000
"PBE0, B3LYP, B3PW91, M06L, B97D3, M062X, wB97XD",3d_TM,41,35,0.8537
RI-PBE-D3BJ,no_xyz_data,41,0,0.0000
(U)B3LYP,no_xyz_data,41,0,0.0000
mPW1PW91,5d_TM,41,22,0.5366
"M06, B3-LYP",main_group_only,41,33,0.8049
"B3LYP-D3, M06L, M11-L",main_group_only,40,0,0.0000
MN15,5d_TM,40,2,0.0500
"BHandH, M06",5d_TM,40,0,0.0000
RI-PWPB95-D3(BJ),main_group_only,40,0,0.0000
TPSSH-D3BJ,3d_TM,39,0,0.0000
"TPSS-D3, BJ-damped DFT-D3, PW6B95-D3",main_group_only,39,0,0.0000
TPSSh,5d_TM,39,0,0.0000
RI-BLYP-D3,3d_TM,39,0,0.0000
BLYP-D2,3d_TM,39,0,0.0000
DSD-PBEP86,main_group_only,39,0,0.0000
M06-SMD,4d_TM,39,2,0.0513
B97-3c,main_group_only,38,0,0.0000
DLPNO-PWPB95,main_group_only,38,0,0.0000
uPBE0,main_group_only,38,0,0.0000
not specified,main_group_only,38,30,0.7895
M11-L,3d_TM,38,15,0.3947
ωB97X-2,main_group_only,38,0,0.0000
uB3LYP-D3(BJ),main_group_only,38,0,0.0000
uM062X-D3,main_group_only,38,0,0.0000
RM06-2X,main_group_only,37,0,0.0000
MPW1B95,no_xyz_data,37,22,0.5946
M06-2X(D3),no_xyz_data,37,0,0.0000
B3LYP-B3(BJ),4d_TM,37,10,0.2703
ɷB97X-D,no_xyz_data,37,0,0.0000
TPSS-D3(BJ),3d_TM,37,0,0.0000
"MP2, MP3, MP4(DQ)",main_group_only,36,0,0.0000
RPBE1PBE,4d_TM,36,0,0.0000
B3PW91-D3,3d_TM,36,0,0.0000
M06L-GD3,main_group_only,36,0,0.0000
"M06-2X, mPW1PW91",main_group_only,36,2,0.0556
RI-B97-D,no_xyz_data,35,11,0.3143
ωB97X,5d_TM,35,6,0.1714
RM06,5d_TM,35,0,0.0000
M06-L-D3,5d_TM,35,0,0.0000
B3LYP*,4d_TM,35,0,0.0000
SCS-MP2,no_xyz_data,35,0,0.0000
ωB97M-V,4d_TM,35,12,0.3429
PBE0+GD3,5d_TM,35,0,0.0000
wB97XD-D2,main_group_only,35,8,0.2286
uM06,no_xyz_data,34,24,0.7059
"B3LYP, mPW1PW91",main_group_only,34,1,0.0294
LYP,main_group_only,34,30,0.8824
