doi,n_leaves_parsed,n_xyz_total,elements
10.1002/adsc.201900545,1,18,C H N Ni
10.1002/adsc.201900596,1,5,H
10.1002/adsc.201900605,1,7,Au C H N O P
10.1002/adsc.201900631,1,2,C H N O S
10.1002/adsc.201900671,1,220,H He
10.1002/adsc.201900719,1,61,C H N O S
10.1002/adsc.201900816,1,14,B C H O P
10.1002/adsc.201900831,1,12,C F H N O Si
10.1002/adsc.201900950,1,6,B C H N O
10.1002/adsc.201900973,1,11,C H O
10.1002/adsc.201901014,1,14,C
10.1002/adsc.201901126,1,15,C H N
10.1002/adsc.201901136,1,46,C H I
10.1002/adsc.201901160,1,40,C H N O S
10.1002/adsc.201901170,1,2,C H N O
10.1002/adsc.201901175,1,2,Ag C H N O S
10.1002/adsc.201901263,1,27,Au C H P
10.1002/adsc.201901289,1,13,C H
10.1002/adsc.201901300,1,15,C H
10.1002/adsc.201901363,1,8,C Cu N O
10.1002/adsc.201901435,1,27,C H O
10.1002/adsc.201901504,1,6,C Co F H N O S
10.1002/adsc.201901570,1,90,C H N O
10.1002/adsc.202000047,1,16,B C
10.1002/adsc.202000175,1,14,C H N
10.1002/adsc.202000191,1,17,C H N O
10.1002/adsc.202000216,1,7,C H O S
10.1002/adsc.202000249,1,34,C O
10.1002/adsc.202000290,1,3,C Cl H N O Zr
10.1002/adsc.202000292,1,12,C H N O
10.1002/adsc.202000356,1,22,C H O
10.1002/adsc.202000443,1,16,C H Pd
10.1002/adsc.202000534,1,15,C F H
10.1002/adsc.202000566,1,8,Br C H Mn N
10.1002/adsc.202000574,1,39,C H Li N O Si
10.1002/adsc.202000615,1,30,C H Ir N O P
10.1002/adsc.202000718,1,19,C H
10.1002/adsc.202000742,1,2,C Cl H N Pd
10.1002/adsc.202000747,1,42,H O
10.1002/adsc.202000751,1,4,C H N O
10.1002/adsc.202000855,1,72,C H N P
10.1002/adsc.202000962,1,19,C H N O
10.1002/adsc.202001119,1,19,Au C H N O
10.1002/adsc.202001129,1,41,C H O S
10.1002/adsc.202001186,1,4,C H N O S
10.1002/adsc.202001349,1,170,C H O
10.1002/adsc.202001384,1,345,B C H N
10.1002/adsc.202001458,1,27,C H N
10.1002/adsc.202001515,1,6,Ag C F H N O P
10.1002/adsc.202100007,1,10,Au C H N P
10.1002/adsc.202100009,1,10,N
10.1002/adsc.202100069,1,8,C H Ir O P S
10.1002/adsc.202100098,1,25,C H N O Rh
10.1002/adsc.202100195,1,41,C H N Pd
10.1002/adsc.202100206,1,9,B C H O P Pd
10.1002/adsc.202100226,1,18,Ag C H N O P
10.1002/adsc.202100260,1,32,C H O
10.1002/adsc.202100481,1,25,C H N O
10.1002/adsc.202100513,1,2,C H P Rh
10.1002/adsc.202100517,1,28,C F H N O
10.1002/adsc.202100548,1,16,C H O S
10.1002/adsc.202100554,1,77,C H O
10.1002/adsc.202100629,1,8,C H O Rh
10.1002/adsc.202100639,1,3,C H N O
10.1002/adsc.202100658,1,1,C H N O
10.1002/adsc.202100677,1,7,C H N O Pd
10.1002/adsc.202100711,1,61,C H N
10.1002/adsc.202100763,1,10,C H N
10.1002/adsc.202100812,1,20,B C H O
10.1002/adsc.202100848,1,7,C H N O S
10.1002/adsc.202101052,1,3,C H I O S
10.1002/adsc.202101095,1,2,B C
10.1002/adsc.202101225,1,16,Br C Cu H N O Si
10.1002/adsc.202101312,1,22,C H N O
10.1002/adsc.202101361,1,22,C H O
10.1002/adsc.202101369,1,22,C H N
10.1002/adsc.202101380,1,1,C H I N O
10.1002/adsc.202101404,1,34,C F H N O S
10.1002/adsc.202101431,1,2,Al Ar As B Be C Ca Cl Co Cr Cu F Fe Ga Ge H He K Li Mg Mn N Na Ne Ni O P S Sc Se Si Ti V Zn
10.1002/adsc.202101462,1,32,C H N
10.1002/adsc.202101490,1,6,C H N O
10.1002/adsc.202200036,1,2,C H N O
10.1002/adsc.202200234,1,19,C F H N O Ru
10.1002/adsc.202200258,1,8,C H N
10.1002/adsc.202200289,1,21,Br C H N
10.1002/adsc.202200331,1,32,C H N
