functional,n_reactions,n_converged,convergence_rate
"r2SCAN, PWPB95-D3BJ",4,0,0.0000
wb97XD2,4,0,0.0000
B3LYP; PBE0,4,3,0.7500
Grimme's GD3,4,0,0.0000
RB97D,4,0,0.0000
ωB97D,4,0,0.0000
"TPSS, PW6B95-D3",4,0,0.0000
CAMB3LYP-D3(BJ),4,0,0.0000
GGA-BP86-D3,3,2,0.6667
"TPSSh, M06-2X",3,2,0.6667
CAM-B3LYP-GDBJ,3,0,0.0000
PBES6,3,3,1.0000
UB+HF-LYP,3,1,0.3333
TPSS-D4,3,0,0.0000
"B3PW91, M06-2X, B3LYP-D3BJ",3,3,1.0000
"B3LYP, M06-solv-SP",3,1,0.3333
UTPSSTPSS,3,0,0.0000
"local density approximation of Vosko, Wilk, and Nusair",3,2,0.6667
nonlocal correlation corrections by Perdew,3,2,0.6667
nonlocal exchange correction by Becke,3,2,0.6667
M06-2X-D3zero,3,0,0.0000
"B3LYP, M062X",3,0,0.0000
"PBE0, B3LYP, M06L, wB97X-D3BJ",3,0,0.0000
"B3LYP, BHandHLYP, BLYP, CAM-B3LYP, B3P86, M06, M06-2X",3,0,0.0000
UM06L,3,0,0.0000
UMPWB1K,3,0,0.0000
"B3LYP, UB3LYP, UBP86",3,0,0.0000
B3LYP‑D3(BJ),3,0,0.0000
D3 dispersion,3,0,0.0000
CAM-B3LYP-3D,3,0,0.0000
ωB97X-D3(BJ),3,0,0.0000
"PBE0, PBE0-GD3BJ",3,3,1.0000
!B97M-V,3,0,0.0000
"PBE0-D3BJ, BP86-D3BJ",3,0,0.0000
TD-B3LYP-D3,3,0,0.0000
"B3LYP, ωB97X",3,0,0.0000
"M06, PBE0-dDsC",3,1,0.3333
M05-2X-D3,3,0,0.0000
(U)M062x,3,0,0.0000
ROBHandHLYP,2,0,0.0000
ROCAM-B3LYP,2,0,0.0000
"PBE0, M052X, B3PW91",2,0,0.0000
B3PW91-GD3,2,0,0.0000
"BH-LYP, PW6B95-D3",2,0,0.0000
PBE0-GD3(BJ),2,0,0.0000
xDH-PBE0,2,0,0.0000
M15L; B2PLYPD3,2,0,0.0000
uO3LYP,2,0,0.0000
roPBE0,2,0,0.0000
M062X2-3,2,2,1.0000
WB97D,2,0,0.0000
"B1B95, B3LYP",2,0,0.0000
r2scan-c3,2,0,0.0000
BVWN,2,2,1.0000
M05-2X/6-311++G**,2,2,1.0000
M11/6-311++G**,2,2,1.0000
BHandH/6-311++G**,2,2,1.0000
M06L/6-311++G**,2,2,1.0000
ωb97X-D/6-311++G**,2,2,1.0000
PBE/6-311++G**,2,2,1.0000
PBE0/6-311++G**,2,2,1.0000
"BP86, SAOP",2,0,0.0000
pw6b95-d4,2,0,0.0000
ωB97-D3,2,2,1.0000
"B3LYP-D3(BJ), M06-2X-D3",2,0,0.0000
VWN-BP,2,1,0.5000
BOP,2,1,0.5000
M06-2X2,2,0,0.0000
SCRF-B97-2,2,0,0.0000
ublyp,2,0,0.0000
GIAO-B3LYP,2,1,0.5000
B3LYP(D3BJ),2,1,0.5000
PBEsol-D3,2,0,0.0000
D4-BJ,2,0,0.0000
UM052X,2,0,0.0000
RB-LYP,2,0,0.0000
D3zero,2,0,0.0000
"B3LYP-D3, M062X",2,0,0.0000
M061-D3,2,0,0.0000
DFTD3,2,0,0.0000
M06-2X-D3(0),2,0,0.0000
B97X-D,1,0,0.0000
"B3LYP, BHLYP",1,0,0.0000
"BP86, OLYP",1,0,0.0000
"PBE, BPBE",1,0,0.0000
rM06,1,0,0.0000
"VWN, Becke, Perdew",1,0,0.0000
ωPBE,1,0,0.0000
PBEH-3c,1,0,0.0000
Becke-Perdew (BP86),1,0,0.0000
"M06-L, B2-PLYP-D, B97-D, BP86, B3PW91",1,0,0.0000
"PW91, OLYP",1,1,1.0000
(U)ωB97XD,1,0,0.0000
DLPNO-SCS-MP2,1,0,0.0000
B3LYP-D3(zero),1,0,0.0000
"B3LYP, M06X2",1,0,0.0000
"B3LYP, B3LYP-D3, B97D",1,0,0.0000
r2SCAN-D3(BJ),1,0,0.0000
"BLYP, B3LYP*, BHandHLYP",1,0,0.0000
Becke exchange correction,1,0,0.0000
Perdew correlation correction,1,0,0.0000
ωB97X-D13,1,0,0.0000
DSD-PBEP86-D3BJ,1,1,1.0000
PBE-D3MBJ,1,0,0.0000
B3LYP/G,1,0,0.0000
ωB97xD-D3,1,1,1.0000
Grimme's D3BJ,1,0,0.0000
ZORA-PBE-D3(BJ),1,0,0.0000
G96PBE,1,0,0.0000
"VWN, Becke's exchange correction, Perdew's correlation correction, OLYP",1,0,0.0000
PBE03,1,0,0.0000
RB3PW91,1,0,0.0000
MO6-2X,1,0,0.0000
B3LYP*(15% HF),1,0,0.0000
M062-2x,1,0,0.0000
BPBE-D3,1,0,0.0000
"M06-2X, B3LYP",1,0,0.0000
VWN,1,0,0.0000
M06-2x6,1,1,1.0000
S12g,1,0,0.0000
"B3LYP, PBE0, BP86",1,0,0.0000
