ArticleURL,Reaction_Class,Title,Year,Cites,Abstract
https://www.cell.com/chem/fulltext/S2451-9294(21)00093-0,"['OxidativeAddition', 'TransitionMetal', 'betaElimination', 'ReductiveElimination', 'Photoredox', 'MetalCatalyzed', 'CrossCoupling']",Ni-catalyzed enantioselective [2+ 2+ 2] cycloaddition of malononitriles with alkynes,2021,43,… (int III) and reductive elimination to deliver enantioenriched fully … This possibility was supported by our DFT calculations of the … undergoes reductive elimination to produce pyridine 2a. …
https://www.cell.com/chem/fulltext/S2451-9294(23)00186-9,"['OxidativeAddition', 'TransitionMetal', 'betaElimination', 'ReductiveElimination', 'Photoredox', 'MetalCatalyzed', 'Transmetalation', 'CrossCoupling']",Visible-light-induced enantioselective radical cross-coupling of C (sp3)-borazirconocene,2023,9,"… proposed mechanism, DFT calculations were carried … reductive elimination to generate the final products with low energy barriers (T5, 2.6 kcal/mol; T6, −0.5 kcal/mol). Overall, the DFT …"
https://www.cell.com/chem/fulltext/S2451-9294(20)30137-6,"['OxidativeAddition', 'TransitionMetal', 'CHActivation', 'betaElimination', 'ReductiveElimination', 'Photoredox', 'MetalCatalyzed', 'CrossCoupling']","Diastereo-and enantioselective catalytic radical oxysulfonylation of alkenes in β, γ-unsaturated ketoximes",2020,64,"The asymmetric radical-initiated difunctionalization of internal alkenes, which creates two vicinal stereocenters, has been a significant synthetic challenge despite the tremendous …"
https://www.cell.com/chem/fulltext/S2451-9294(22)00216-9,"['OxidativeAddition', 'TransitionMetal', 'CHActivation', 'betaElimination', 'Carbonylation', 'ReductiveElimination', 'MetalCatalyzed', 'MigratoryInsertion', 'CrossCoupling']",Transition-metal-catalyzed site-selective γ-and δ-C (sp3)–H functionalization reactions,2022,37,"… , the authors conducted density functional theory (DFT) calculations … reductive elimination from the seven-membered metalacyclic has a lower energy barrier than reductive elimination …"
https://www.cell.com/chem/abstract/S2451-9294(23)00479-5,"['OxidativeAddition', 'TransitionMetal', 'CHActivation', 'OlefinMetathesis', 'betaElimination', 'ReductiveElimination', 'Photoredox', 'MetalCatalyzed', 'MigratoryInsertion', 'Transmetalation', 'CrossCoupling']",Catalytic asymmetric synthesis of silicon-stereogenic organosilanes,2023,28,"… The density functional theory (DFT) calculations indicated that the chirality of this reaction is largely controlled by multiple XH-π interactions, including the one between the C–H bond of …"
https://www.cell.com/chem/abstract/S2451-9294(25)00036-1,"['OxidativeAddition', 'TransitionMetal', 'CHActivation', 'betaElimination', 'ReductiveElimination', 'Photoredox', 'MetalCatalyzed', 'CrossCoupling']",para-Selective C–H alkylation of aroyl chlorides through organic photoredox-catalyzed radical tele-substitution,2025,1,"… behaviors, such as oxidative addition and reductive elimination in the cleavage of C(sp 2 )–H … , we conducted several experiments and density functional theory (DFT) calculations. First, …"
https://www.cell.com/chem/fulltext/S2451-9294(23)00523-5,"['ReductiveElimination', 'OxidativeAddition', 'CHActivation', 'betaElimination']","Convenient access to π-conjugated 1, 3-azaphospholes from alkynes via [3+ 2]-cycloaddition and reductive aromatization",2024,10,"When incorporated into π-conjugated systems, phosphorus-based heterocycles have gained significant attention due to their unique chemical and physical properties. However, their …"
https://www.cell.com/chem/fulltext/S2451-9294(21)00635-5,"['OxidativeAddition', 'CHActivation', 'betaElimination', 'Carbonylation', 'ReductiveElimination', 'HomogeneousCatalysis', 'MetalCatalyzed']",Selective and stable upgrading of biomass-derived furans into plastic monomers by coupling homogeneous and heterogeneous catalysis,2022,51,"… be attributed to the faster reductive elimination of MFA from … was not conductive to the reductive elimination to give product. … systematic experimental studies and DFT calculations, which …"
https://www.cell.com/chem/fulltext/S2451-9294(24)00011-1,"['OxidativeAddition', 'TransitionMetal', 'CHActivation', 'OlefinMetathesis', 'Carbonylation', 'ReductiveElimination', 'betaElimination', 'MetalCatalyzed', 'MigratoryInsertion', 'CrossCoupling']",Substituent exchange between an imino (silyl) silylene and aryl isocyanides,2024,3,"… the Ar–NC bond, followed by the reductive elimination of the cyanide at the silicon center. Oxidative addition/reductive elimination processes are key steps in metal-catalyzed reactions, …"
https://www.cell.com/chem/fulltext/S2451-9294(20)30312-0,"['OxidativeAddition', 'TransitionMetal', 'CHActivation', 'betaElimination', 'ReductiveElimination', 'HomogeneousCatalysis', 'MetalCatalyzed', 'CrossCoupling']",Site-selective C–H benzylation of alkanes with N-triftosylhydrazones leading to alkyl aromatics,2020,72,"… aldehydes was also realized, thereby constituting a formal reductive alkylation of aryl aldehydes by alkanes. Experimental investigations and DFT calculations reveal that the role of the […"
